Player,Season,Position,Age,Team,GP,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,EFG,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TO,PF,PTS
Victor Alexander,2002,C,32,DET,1,0,3,0,1,.000,0,0,,0,1,.000,.000,0,0,,0,1,1,0,0,0,0,0,0
Derek Anderson,2002,SG,27,POR,3,0,76,13,30,.433,2,6,.333,11,24,.458,.467,16,18,.889,3,4,7,7,2,0,6,1,44
Kenny Anderson,2002,PG,31,BOS,16,16,560,82,197,.416,0,0,,82,197,.416,.416,28,35,.800,13,37,50,76,21,0,28,58,192
Darrell Armstrong,2002,PG,33,ORL,4,4,158,20,42,.476,4,17,.235,16,25,.640,.524,17,21,.810,3,8,11,13,5,0,7,14,61
Chucky Atkins,2002,PG,27,DET,10,10,294,43,118,.364,14,39,.359,29,79,.367,.424,13,17,.765,5,19,24,34,6,1,14,25,113
Stacey Augmon,2002,SG,33,CHH,9,0,152,16,41,.390,0,0,,16,41,.390,.390,16,21,.762,7,20,27,13,10,1,12,21,48
Vin Baker,2002,C,30,SEA,5,4,144,29,58,.500,1,1,1.000,28,57,.491,.509,7,9,.778,11,14,25,4,3,6,4,23,66
Dana Barros,2002,PG,34,DET,4,0,6,1,3,.333,0,1,.000,1,2,.500,.333,0,0,,0,0,0,1,0,0,0,2,2
Brent Barry,2002,SG,30,SEA,5,5,149,14,34,.412,7,16,.438,7,18,.389,.515,4,4,1.000,6,17,23,14,3,4,9,12,39
Jon Barry,2002,SG,32,DET,10,0,177,29,61,.475,17,38,.447,12,23,.522,.615,5,8,.625,4,16,20,21,5,1,19,14,80
Tony Battie,2002,C,25,BOS,16,16,443,42,86,.488,0,0,,42,86,.488,.488,13,21,.619,39,82,121,13,10,30,11,51,97
Raja Bell,2002,SG,25,PHI,3,0,8,1,3,.333,0,2,.000,1,1,1.000,.333,0,0,,1,0,1,0,0,0,0,0,2
Jonathan Bender,2002,SF,21,IND,5,0,45,3,6,.500,0,1,.000,3,5,.600,.500,0,0,,0,4,4,2,2,3,5,6,6
Mike Bibby,2002,PG,23,SAC,16,16,661,114,257,.444,25,59,.424,89,198,.449,.492,71,86,.826,14,46,60,80,23,3,37,30,324
Chauncey Billups,2002,PG,25,MIN,3,3,134,23,51,.451,6,15,.400,17,36,.472,.510,14,20,.700,1,14,15,17,3,1,9,14,66
Corie Blount,2002,PF,33,PHI,5,0,88,2,8,.250,0,0,,2,8,.250,.250,3,4,.750,10,4,14,2,2,2,4,9,7
Mark Blount,2002,C,26,BOS,4,0,39,2,4,.500,0,0,,2,4,.500,.500,2,2,1.000,3,4,7,1,2,2,1,7,6
Bruce Bowen,2002,SF,30,SAS,10,10,345,25,61,.410,11,25,.440,14,36,.389,.500,7,14,.500,9,24,33,14,11,7,7,28,68
Michael Bradley,2002,PF,22,TOR,1,0,3,0,0,,0,0,,0,0,,,0,0,,0,1,1,1,0,0,0,1,0
Shawn Bradley,2002,C,29,DAL,7,0,25,3,6,.500,0,0,,3,6,.500,.500,0,0,,1,4,5,0,0,1,1,9,6
Jamison Brewer,2002,SG,21,IND,2,0,6,0,2,.000,0,0,,0,2,.000,.000,1,2,.500,2,2,4,1,0,0,1,3,1
Chucky Brown,2002,SF,33,SAC,1,0,1,0,0,,0,0,,0,0,,,0,0,,0,1,1,0,0,0,0,1,0
Kedrick Brown,2002,SF,20,BOS,2,0,3,2,2,1.000,1,1,1.000,1,1,1.000,1.250,0,0,,0,0,0,0,0,1,0,0,5
P.J. Brown,2002,C,32,CHH,9,9,331,32,75,.427,0,0,,32,75,.427,.427,28,37,.757,29,57,86,14,6,12,8,37,92
Rick Brunson,2002,PG,29,POR,2,0,2,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0
Kobe Bryant*,2002,SG,23,LAL,19,19,833,187,431,.434,22,58,.379,165,373,.442,.459,110,145,.759,28,83,111,87,27,17,54,65,506
Mark Bryant,2002,PF,36,SAS,9,4,91,9,20,.450,0,0,,9,20,.450,.450,3,6,.500,8,4,12,1,1,2,1,14,21
Greg Buckner,2002,SG,25,DAL,7,0,105,12,25,.480,0,1,.000,12,24,.500,.480,3,4,.750,13,13,26,4,3,1,3,15,27
Jud Buechler,2002,SF,33,ORL,2,0,10,0,0,,0,0,,0,0,,,0,0,,0,1,1,1,1,0,0,0,0
Elden Campbell,2002,PF,33,CHH,9,9,254,49,110,.445,0,1,.000,49,109,.450,.445,24,34,.706,14,46,60,16,6,23,17,34,122
Chris Childs,2002,PG,34,TOR,5,4,163,21,54,.389,8,17,.471,13,37,.351,.463,9,10,.900,2,17,19,37,4,0,20,15,59
Doug Christie,2002,SG,31,SAC,16,16,644,54,132,.409,17,64,.266,37,68,.544,.473,52,65,.800,19,73,92,79,33,9,44,64,177
Keon Clark,2002,C,26,TOR,5,5,174,26,48,.542,0,0,,26,48,.542,.542,15,16,.938,14,26,40,8,2,8,14,19,67
Speedy Claxton,2002,PG,23,PHI,5,0,49,4,12,.333,0,1,.000,4,11,.364,.333,4,6,.667,1,0,1,14,5,0,3,8,12
Derrick Coleman,2002,PF,34,PHI,5,5,191,22,42,.524,4,13,.308,18,29,.621,.571,16,20,.800,15,31,46,10,1,7,5,10,64
Jarron Collins,2002,C,23,UTA,4,4,47,10,18,.556,0,0,,10,18,.556,.556,2,2,1.000,4,3,7,0,0,0,4,11,22
Jason Collins,2002,C,23,NJN,17,0,227,12,33,.364,0,0,,12,33,.364,.364,25,38,.658,24,17,41,7,5,6,12,48,49
Austin Croshere,2002,PF,26,IND,4,0,59,8,20,.400,2,6,.333,6,14,.429,.450,6,8,.750,4,10,14,2,1,1,6,7,24
Vonteego Cummings,2002,PG,25,PHI,1,0,1,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0
Dell Curry,2002,SG,37,TOR,4,0,59,10,25,.400,4,5,.800,6,20,.300,.480,4,4,1.000,0,5,5,4,5,2,3,4,28
Michael Curry,2002,SG,33,DET,10,10,221,22,39,.564,5,13,.385,17,26,.654,.628,8,11,.727,1,13,14,12,4,0,5,32,57
Antonio Daniels,2002,SG,26,SAS,10,0,224,35,77,.455,6,16,.375,29,61,.475,.494,19,22,.864,3,24,27,15,7,3,5,13,95
Antonio Davis,2002,PF,33,TOR,5,5,202,34,75,.453,0,0,,34,75,.453,.453,17,28,.607,16,37,53,7,2,5,10,17,85
Baron Davis,2002,PG,22,CHH,9,9,401,71,188,.378,21,62,.339,50,126,.397,.434,40,67,.597,16,47,63,71,32,5,27,36,203
Dale Davis,2002,C,32,POR,3,3,70,3,11,.273,0,0,,3,11,.273,.273,1,2,.500,6,14,20,4,4,3,2,16,7
Andrew DeClercq,2002,C,28,ORL,2,0,9,0,0,,0,0,,0,0,,,0,2,.000,0,0,0,0,0,0,1,3,0
Tony Delk,2002,SG,28,BOS,14,0,227,23,65,.354,13,33,.394,10,32,.313,.454,7,12,.583,8,26,34,16,8,5,15,13,66
Vlade Divac*,2002,C,33,SAC,16,16,535,70,151,.464,2,7,.286,68,144,.472,.470,74,98,.755,46,103,149,27,18,20,37,76,216
Bryce Drew,2002,PG,27,CHH,2,0,5,1,1,1.000,0,0,,1,1,1.000,1.000,0,0,,0,0,0,2,0,0,0,0,2
Predrag Drobnjak,2002,C,26,SEA,3,1,38,4,12,.333,0,0,,4,12,.333,.333,2,4,.500,3,5,8,2,1,0,1,2,10
Chris Dudley,2002,C,36,POR,2,0,3,0,1,.000,0,0,,0,1,.000,.000,0,0,,0,2,2,0,0,0,1,1,0
Tim Duncan*,2002,PF,25,SAS,9,9,380,82,181,.453,1,3,.333,81,178,.455,.456,83,101,.822,28,102,130,45,6,39,37,22,248
Evan Eschmeyer,2002,C,26,DAL,3,0,8,0,1,.000,0,0,,0,1,.000,.000,0,0,,1,1,2,1,0,1,0,2,0
Patrick Ewing*,2002,C,39,ORL,4,0,67,8,25,.320,0,1,.000,8,24,.333,.320,10,17,.588,5,17,22,4,1,4,2,12,26
Danny Ferry,2002,SF,35,SAS,10,0,155,10,33,.303,7,20,.350,3,13,.231,.409,1,4,.250,5,15,20,8,0,1,2,19,28
Michael Finley,2002,SF,28,DAL,8,8,373,69,148,.466,14,37,.378,55,111,.495,.514,45,50,.900,13,37,50,18,12,4,15,24,197
Derek Fisher,2002,PG,27,LAL,19,19,649,60,168,.357,29,81,.358,31,87,.356,.443,44,56,.786,10,52,62,52,19,1,20,49,193
